-DOCSTART- -X- O O
Bengaluru	NN	O
-	:	O
based	VBN	O
traveltech	NN	O
startup	NN	O
OnArrival	NN	B-STARTUP
on	IN	O
Monday	NNP	O
said	VBD	O
it	PRP	O
has	VBZ	O
raised	VBN	O
pre	NN	O
-	:	O
seed	NN	O
funding	NN	O
of	IN	O
$	$	B-FUNDING_AMOUNT
175,000	CD	I-FUNDING_AMOUNT
(	(	I-FUNDING_AMOUNT
around	IN	I-FUNDING_AMOUNT
Rs	NN	I-FUNDING_AMOUNT
1.42	CD	I-FUNDING_AMOUNT
crore	NN	I-FUNDING_AMOUNT
)	)	I-FUNDING_AMOUNT
from	IN	O
Antler	NN	B-INVESTOR_NAME
India	NNP	I-INVESTOR_NAME
.	.	O
The	DT	O
fresh	JJ	O
funds	NNS	O
will	MD	O
be	VB	O
deployed	NN	O
for	IN	O
hiring	VBG	O
across	IN	O
sales	NNS	O
and	CC	O
technology	NN	O
teams	NNS	O
.	.	O
OnArrival	NN	B-STARTUP
was	VBD	O
founded	VBN	O
by	IN	O
Ankit	NN	B-FOUNDER_NAME
Sawant	NN	I-FOUNDER_NAME
and	CC	O
Pawan	NN	B-FOUNDER_NAME
Shetty	NN	I-FOUNDER_NAME
in	IN	O
2022	CD	B-FOUNDED_DATE
.	.	O
It	PRP	O
aims	NNS	O
to	TO	O
address	NN	O
gaps	NNS	O
in	IN	O
customer	NN	O
experience	NN	O
by	IN	O
bringing	VBG	O
20	CD	O
ancillary	JJ	O
travel	NN	O
services	NNS	O
onto	IN	O
one	CD	O
platform	NN	O
via	IN	O
its	PRP$	O
proprietary	JJ	O
application	NN	O
programming	VBG	O
interface	NN	O
(	(	O
APIs	NN	O
)	)	O
.	.	O
This	DT	O
enables	NNS	O
sellers	NNS	O
like	IN	O
online	NN	O
travel	NN	O
agencies	NNS	O
(	(	O
OTAs	NN	O
)	)	O
or	CC	O
any	DT	O
other	JJ	O
travel	NN	O
booking	VBG	O
avenue	NN	O
to	TO	O
offer	NN	O
these	DT	O
services	NNS	O
to	TO	O
their	PRP$	O
customers	NNS	O
through	IN	O
a	DT	O
single	JJ	O
interface	NN	O
.	.	O
