-DOCSTART- -X- O O
Online	O
sneaker	O
resale	O
platform	O
DawnTown	B-STARTUP
on	O
Thursday	B-FUNDING_DATE
said	O
it	O
has	O
raised	O
seed	O
funding	O
of	O
$	B-FUNDING_AMOUNT
500,000	I-FUNDING_AMOUNT
(	I-FUNDING_AMOUNT
around	I-FUNDING_AMOUNT
Rs	I-FUNDING_AMOUNT
4.13	I-FUNDING_AMOUNT
crore	I-FUNDING_AMOUNT
)	I-FUNDING_AMOUNT
from	O
Netsurf	O
Communications	O
’	O
Sujit	B-INVESTOR_NAME
Jain	I-INVESTOR_NAME
and	O
actor	O
Sanjay	B-INVESTOR_NAME
Dutt	I-INVESTOR_NAME
.	O
The	O
Mumbai	O
-	O
based	O
firm	O
,	O
founded	O
by	O
Kushagra	B-FOUNDER_NAME
Patwari	I-FOUNDER_NAME
and	O
Risheek	B-FOUNDER_NAME
Agrawal	I-FOUNDER_NAME
in	O
2021	B-FOUNDED_DATE
,	O
will	O
use	O
the	O
fresh	O
funds	O
to	O
foray	O
into	O
physical	O
retail	O
market	O
and	O
scaling	O
up	O
its	O
online	O
footprint	O
.	O
DawnTown	B-STARTUP
authenticates	O
and	O
resells	O
high	O
-	O
end	O
sneakers	O
unavailable	O
on	O
any	O
platform	O
or	O
at	O
retail	O
stores	O
,	O
the	O
company	O
said	O
in	O
a	O
statement	O
.	O
“	O
With	O
this	O
investment	O
our	O
goal	O
would	O
be	O
to	O
set	O
up	O
our	O
flagship	O
store	O
in	O
Mumbai	O
’s	O
Pali	O
Hill	O
curate	O
our	O
inventory	O
and	O
provide	O
sellers	O
a	O
platform	O
to	O
sell	O
their	O
sneakers	O
while	O
getting	O
the	O
payout	O
,	O
”	O
said	O
Patwari	O
and	O
Agrawal	O
.	O
The	O
sneaker	O
marketplace	O
has	O
witnessed	O
an	O
uptick	O
in	O
2022	O
,	O
especially	O
among	O
millennial	O
,	O
generating	O
revenue	O
of	O
$	O
2.62	O
billion	O
.	O
The	O
space	O
is	O
expected	O
to	O
grow	O
annually	O
by	O
11.58	O
%	O
.	O
Blingg	B-STARTUP
Direct	O
-	O
to	O
-	O
consumer	O
(	O
D2C	O
)	O
platform	O
Blingg	B-STARTUP
has	O
secured	O
pre	O
-	O
seed	O
funding	O
of	O
$	B-FUNDING_AMOUNT
100,000	I-FUNDING_AMOUNT
(	I-FUNDING_AMOUNT
around	I-FUNDING_AMOUNT
Rs	I-FUNDING_AMOUNT
82.7	I-FUNDING_AMOUNT
lakh	I-FUNDING_AMOUNT
)	I-FUNDING_AMOUNT
led	O
by	O
Decentralized	B-INVESTOR_NAME
VC	I-INVESTOR_NAME
,	O
with	O
participation	O
from	O
Pavan	O
Kumar	O
(	O
3PM	B-INVESTOR_NAME
Ventures	I-INVESTOR_NAME
)	O
and	O
others	O
.	O
The	O
company	O
will	O
deploy	O
the	O
fresh	O
proceeds	O
for	O
product	O
development	O
.	O
Founded	O
by	O
Sanil	B-FOUNDER_NAME
Jain	I-FOUNDER_NAME
in	O
2021	B-FOUNDED_DATE
,	O
Blingg	B-STARTUP
is	O
a	O
platform	O
that	O
enables	O
D2C	O
brands	O
to	O
launch	O
,	O
sample	O
and	O
sell	O
through	O
their	O
Shopify	O
-	O
integrated	O
platform	O
.	O
The	O
Mumbai	O
-	O
based	O
firm	O
claims	O
to	O
have	O
worked	O
with	O
over	O
75	O
D2C	O
brands	O
across	O
food	O
,	O
beverage	O
,	O
health	O
,	O
wellness	O
and	O
beauty	O
.	O
“	O
We	O
are	O
currently	O
developing	O
technology	O
that	O
will	O
enable	O
D2C	O
brands	O
to	O
reach	O
their	O
ideal	O
customers	O
effectively	O
.	O
Our	O
current	O
fundraise	O
will	O
help	O
in	O
launching	O
our	O
proprietary	O
matchmaking	O
technology	O
for	O
product	O
sampling	O
.	O
”	O
said	O
Jain	O
.	O
“	O
Most	O
D2C	O
brands	O
struggle	O
with	O
online	O
marketing	O
and	O
need	O
new	O
channels	O
to	O
reach	O
customers	O
.	O
Blingg	B-STARTUP
offers	O
brands	O
in	O
the	O
segment	O
a	O
new	O
and	O
cost	O
-	O
effective	O
way	O
to	O
reach	O
their	O
target	O
group	O
and	O
receive	O
data	O
on	O
their	O
campaigns	O
along	O
with	O
feedback	O
on	O
their	O
products	O
,	O
”	O
said	O
Jeroen	O
Bertrams	O
,	O
general	O
partner	O
,	O
Decentralized	B-INVESTOR_NAME
VC	I-INVESTOR_NAME
.	O
Lately	O
,	O
the	O
D2C	B-STARTUP
space	I-STARTUP
also	O
garnered	O
the	O
attention	O
of	O
large	O
conglomerates	O
,	O
VCCircle	O
had	O
earlier	O
reported	O
.	O
According	O
to	O
investment	O
bankers	O
and	O
investors	O
,	O
large	O
conglomerates	O
are	O
finding	O
it	O
easier	O
to	O
buy	O
out	O
D2C	O
brands	O
amid	O
a	O
funding	O
crunch	O
for	O
unprofitable	O
startups	O
.	O
The	O
trend	O
has	O
been	O
rising	O
over	O
the	O
last	O
few	O
years	O
and	O
will	O
sharpen	O
in	O
2023	O
,	O
especially	O
for	O
startups	O
requiring	O
capital	O
to	O
survive	O
.	O
Early	O
this	O
week	O
,	O
another	O
D2C	O
platform	O
for	O
ethnic	O
fashion	O
,	O
Shobitam	B-STARTUP
,	O
marked	O
its	O
first	O
acquisition	O
with	O
apparel	O
brand	O
House	O
of	O
Blouse	O
to	O
strengthen	O
its	O
product	O
offerings	O
.	O
However	O
,	O
the	O
financial	O
details	O
of	O
the	O
deal	O
were	O
not	O
disclosed	O
.	O
Among	O
other	O
developments	O
in	O
the	O
apparel	O
industry	O
,	O
D2C	O
fashion	O
brand	O
D’chica	B-STARTUP
raised	O
Rs	B-FUNDING_AMOUNT
1.62	I-FUNDING_AMOUNT
crore	I-FUNDING_AMOUNT
late	O
last	O
month	O
from	O
revenue	O
-	O
based	O
financier	O
Velocity	B-INVESTOR_NAME
to	O
scale	O
its	O
hiring	O
and	O
marketing	O
plans	O
.	O
The	O
brand	O
generates	O
revenue	O
from	O
its	O
core	O
offerings	O
—	O
innerwear	O
--	O
along	O
with	O
a	O
fashion	O
line	O
of	O
sportswear	O
,	O
loungewear	O
and	O
footwear	O
.	O
Another	O
popular	O
apparel	O
and	O
footwear	O
brand	O
,	O
Bewakoof	B-STARTUP
Brands	I-STARTUP
Pvt	I-STARTUP
.	I-STARTUP
Ltd	I-STARTUP
,	O
handed	O
a	O
majority	O
stake	O
to	O
TMRW	B-INVESTOR_NAME
,	O
a	O
wholly	O
-	O
owned	O
unit	O
of	O
Aditya	O
Birla	O
Fashion	O
Retail	O
Ltd.	O
for	O
about	O
Rs	B-FUNDING_AMOUNT
200	I-FUNDING_AMOUNT
crore	I-FUNDING_AMOUNT
.	O
Bewakoof	B-STARTUP
,	O
in	O
December	O
,	O
also	O
said	O
that	O
it	O
is	O
aiming	O
to	O
break	O
even	O
by	O
the	O
next	O
financial	O
year	O
,	O
and	O
achieve	O
10	O
%	O
Ebitda	O
margin	O
in	O
the	O
next	O
five	O
years	O
.	O
Share	O
article	O
on	O
Former	O
Nazara	O
Technologies	O
CEO	O
Manish	B-FOUNDER_NAME
Agarwal	I-FOUNDER_NAME
and	O
web3	O
investor	O
Ishank	B-FOUNDER_NAME
Gupta	I-FOUNDER_NAME
have	O
raised	B-FUNDING_AMOUNT
₹	I-FUNDING_AMOUNT
160	I-FUNDING_AMOUNT
crore	I-FUNDING_AMOUNT
(	I-FUNDING_AMOUNT
about	I-FUNDING_AMOUNT
$	I-FUNDING_AMOUNT
20	I-FUNDING_AMOUNT
million	I-FUNDING_AMOUNT
)	I-FUNDING_AMOUNT
in	O
a	O
seed	O
round	O
at	O
a	O
valuation	O
of	O
₹	B-VALUATION
1,200	I-VALUATION
crore	I-VALUATION
(	I-VALUATION
$	I-VALUATION
150	I-VALUATION
million	I-VALUATION
)	O
for	O
a	O
new	O
web3	O
gaming	O
startup	O
called	O
Kratos	B-STARTUP
Studios	I-STARTUP
which	O
they	O
will	O
operate	O
under	O
the	O
IndiGG	O
brand	O
name	O
.	O
The	O
seed	O
round	O
was	O
led	O
by	O
Accel	B-INVESTOR_NAME
and	O
included	O
Prosus	B-INVESTOR_NAME
Ventures	I-INVESTOR_NAME
,	O
Courtside	B-INVESTOR_NAME
Ventures	I-INVESTOR_NAME
,	O
Nexus	B-INVESTOR_NAME
Venture	I-INVESTOR_NAME
Partners	I-INVESTOR_NAME
,	O
Nazara	B-INVESTOR_NAME
,	O
and	O
Jet	B-INVESTOR_NAME
Ventures	I-INVESTOR_NAME
.	O
Agarwal	O
and	O
Gupta	O
have	O
acquired	O
the	O
IndiGG	O
brand	O
name	O
from	O
Yield	O
Guild	O
Games	O
(	O
YGG	O
)	O
through	O
a	O
token	O
swap	O
,	O
which	O
is	O
the	O
transfer	O
of	O
digital	O
tokens	O
from	O
one	O
blockchain	O
to	O
another	O
.	O
Kratos	B-STARTUP
has	O
also	O
acquired	O
INDI	O
tokens	O
and	O
will	O
give	O
their	O
holders	O
new	O
tokens	O
through	O
a	O
token	O
generation	O
event	O
later	O
.	O
Until	O
then	O
,	O
INDI	O
tokens	O
will	O
continue	O
to	O
trade	O
on	O
exchanges	O
.	O
IndiGG	O
is	O
a	O
sub	O
-	O
DAO	O
(	O
decentralized	O
autonomous	O
organization	O
)	O
of	O
YGG	O
.	O
It	O
was	O
started	O
in	O
2022	O
with	O
the	O
backing	O
of	O
Polygon	B-INVESTOR_NAME
Studios	I-INVESTOR_NAME
to	O
expand	O
the	O
play	O
-	O
to	O
-	O
earn	O
(	O
P2E	O
)	O
web3	O
gaming	O
ecosystem	O
in	O
India	O
.	O
Game	O
developers	O
list	O
quests	O
on	O
the	O
platform	O
and	O
players	O
participate	O
to	O
win	O
the	O
prize	O
money	O
.	O
Before	O
the	O
acquisition	O
of	O
the	O
IndiGG	O
brand	O
,	O
Gupta	O
was	O
an	O
advisor	O
to	O
it	O
.	O
Agarwal	O
said	O
he	O
and	O
Gupta	O
will	O
continue	O
to	O
work	O
with	O
Polygon	B-INVESTOR_NAME
co	O
-	O
founder	O
Sandeep	O
Nailwal	O
and	O
YGG	O
co	O
-	O
founder	O
Gabby	O
Dizon	O
to	O
expand	O
IndiGG	O
and	O
make	O
it	O
the	O
world	O
’s	O
largest	O
gaming	O
