-DOCSTART- -X- O O
Online	NN	O
sneaker	NN	O
resale	NN	O
platform	NN	O
DawnTown	NN	B-STARTUP
on	IN	O
Thursday	NNP	B-FUNDING_DATE
said	VBD	O
it	PRP	O
has	VBZ	O
raised	VBN	O
seed	NN	O
funding	NN	O
of	IN	O
$	$	B-FUNDING_AMOUNT
500,000	CD	I-FUNDING_AMOUNT
(	(	I-FUNDING_AMOUNT
around	IN	I-FUNDING_AMOUNT
Rs	NN	I-FUNDING_AMOUNT
4.13	CD	I-FUNDING_AMOUNT
crore	NN	I-FUNDING_AMOUNT
)	)	I-FUNDING_AMOUNT
from	IN	O
Netsurf	NN	O
Communications	NNS	O
’	NN	O
Sujit	NN	B-INVESTOR_NAME
Jain	NN	I-INVESTOR_NAME
and	CC	O
actor	NN	O
Sanjay	NN	B-INVESTOR_NAME
Dutt	NN	I-INVESTOR_NAME
.	.	O
The	DT	O
Mumbai	NN	O
-	:	O
based	VBN	O
firm	NN	O
,	,	O
founded	VBN	O
by	IN	O
Kushagra	NNP	B-FOUNDER_NAME
Patwari	NN	I-FOUNDER_NAME
and	CC	O
Risheek	NN	B-FOUNDER_NAME
Agrawal	NN	I-FOUNDER_NAME
in	IN	O
2021	CD	B-FOUNDED_DATE
,	,	O
will	MD	O
use	NN	O
the	DT	O
fresh	JJ	O
funds	NNS	O
to	TO	O
foray	NN	O
into	IN	O
physical	JJ	O
retail	JJ	O
market	NN	O
and	CC	O
scaling	VBG	O
up	RB	O
its	PRP$	O
online	NN	O
footprint	NN	O
.	.	O
DawnTown	NN	B-STARTUP
authenticates	NNS	O
and	CC	O
resells	NNS	O
high	JJ	O
-	:	O
end	NN	O
sneakers	NNS	O
unavailable	JJ	O
on	IN	O
any	DT	O
platform	NN	O
or	CC	O
at	IN	O
retail	JJ	O
stores	NNS	O
,	,	O
the	DT	O
company	NN	O
said	VBD	O
in	IN	O
a	DT	O
statement	NN	O
.	.	O
“	NN	O
With	IN	O
this	DT	O
investment	NN	O
our	PRP$	O
goal	NN	O
would	MD	O
be	VB	O
to	TO	O
set	NN	O
up	RB	O
our	PRP$	O
flagship	NN	O
store	NN	O
in	IN	O
Mumbai	NN	O
’s	NN	O
Pali	NN	O
Hill	NN	O
curate	NN	O
our	PRP$	O
inventory	NN	O
and	CC	O
provide	NN	O
sellers	NNS	O
a	DT	O
platform	NN	O
to	TO	O
sell	NN	O
their	PRP$	O
sneakers	NNS	O
while	IN	O
getting	VBG	O
the	DT	O
payout	NN	O
,	,	O
”	NN	O
said	VBD	O
Patwari	NN	O
and	CC	O
Agrawal	NN	O
.	.	O
The	DT	O
sneaker	NN	O
marketplace	NN	O
has	VBZ	O
witnessed	VBN	O
an	DT	O
uptick	JJ	O
in	IN	O
2022	CD	O
,	,	O
especially	RB	O
among	IN	O
millennial	NN	O
,	,	O
generating	VBG	O
revenue	NN	O
of	IN	O
$	$	O
2.62	CD	O
billion	CD	O
.	.	O
The	DT	O
space	NN	O
is	VBZ	O
expected	VBN	O
to	TO	O
grow	NN	O
annually	RB	O
by	IN	O
11.58	CD	O
%	NN	O
.	.	O
Blingg	NN	B-STARTUP
Direct	JJ	O
-	:	O
to	TO	O
-	:	O
consumer	NN	O
(	(	O
D2C	NN	O
)	)	O
platform	NN	O
Blingg	NN	B-STARTUP
has	VBZ	O
secured	VBN	O
pre	NN	O
-	:	O
seed	NN	O
funding	NN	O
of	IN	O
$	$	B-FUNDING_AMOUNT
100,000	CD	I-FUNDING_AMOUNT
(	(	I-FUNDING_AMOUNT
around	IN	I-FUNDING_AMOUNT
Rs	NN	I-FUNDING_AMOUNT
82.7	CD	I-FUNDING_AMOUNT
lakh	NN	I-FUNDING_AMOUNT
)	)	I-FUNDING_AMOUNT
led	VBN	O
by	IN	O
Decentralized	VBN	B-INVESTOR_NAME
VC	NN	I-INVESTOR_NAME
,	,	O
with	IN	O
participation	NN	O
from	IN	O
Pavan	NN	O
Kumar	NNP	O
(	(	O
3PM	CD	B-INVESTOR_NAME
Ventures	NNS	I-INVESTOR_NAME
)	)	O
and	CC	O
others	NNS	O
.	.	O
The	DT	O
company	NN	O
will	MD	O
deploy	NN	O
the	DT	O
fresh	JJ	O
proceeds	NNS	O
for	IN	O
product	NN	O
development	NN	O
.	.	O
Founded	VBN	O
by	IN	O
Sanil	NN	B-FOUNDER_NAME
Jain	NN	I-FOUNDER_NAME
in	IN	O
2021	CD	B-FOUNDED_DATE
,	,	O
Blingg	NN	B-STARTUP
is	VBZ	O
a	DT	O
platform	NN	O
that	IN	O
enables	NNS	O
D2C	NN	O
brands	NNS	O
to	TO	O
launch	NN	O
,	,	O
sample	NN	O
and	CC	O
sell	NN	O
through	IN	O
their	PRP$	O
Shopify	VB	O
-	:	O
integrated	VBN	O
platform	NN	O
.	.	O
The	DT	O
Mumbai	NN	O
-	:	O
based	VBN	O
firm	NN	O
claims	NNS	O
to	TO	O
have	VB	O
worked	VBN	O
with	IN	O
over	IN	O
75	CD	O
D2C	NN	O
brands	NNS	O
across	IN	O
food	NN	O
,	,	O
beverage	NN	O
,	,	O
health	NN	O
,	,	O
wellness	NN	O
and	CC	O
beauty	NN	O
.	.	O
“	NN	O
We	PRP	O
are	VBP	O
currently	RB	O
developing	VBG	O
technology	NN	O
that	IN	O
will	MD	O
enable	JJ	O
D2C	NN	O
brands	NNS	O
to	TO	O
reach	NN	O
their	PRP$	O
ideal	NN	O
customers	NNS	O
effectively	RB	O
.	.	O
Our	PRP$	O
current	JJ	O
fundraise	NN	O
will	MD	O
help	NN	O
in	IN	O
launching	VBG	O
our	PRP$	O
proprietary	JJ	O
matchmaking	VBG	O
technology	NN	O
for	IN	O
product	NN	O
sampling	VBG	O
.	.	O
”	NN	O
said	VBD	O
Jain	NN	O
.	.	O
“	NN	O
Most	JJS	O
D2C	NN	O
brands	NNS	O
struggle	NN	O
with	IN	O
online	NN	O
marketing	NN	O
and	CC	O
need	NN	O
new	JJ	O
channels	NNS	O
to	TO	O
reach	NN	O
customers	NNS	O
.	.	O
Blingg	NN	B-STARTUP
offers	NNS	O
brands	NNS	O
in	IN	O
the	DT	O
segment	NN	O
a	DT	O
new	JJ	O
and	CC	O
cost	NN	O
-	:	O
effective	JJ	O
way	NN	O
to	TO	O
reach	NN	O
their	PRP$	O
target	NN	O
group	NN	O
and	CC	O
receive	NN	O
data	NNS	O
on	IN	O
their	PRP$	O
campaigns	NNS	O
along	IN	O
with	IN	O
feedback	NN	O
on	IN	O
their	PRP$	O
products	NNS	O
,	,	O
”	NN	O
said	VBD	O
Jeroen	NN	O
Bertrams	NNS	O
,	,	O
general	JJ	O
partner	NN	O
,	,	O
Decentralized	VBN	B-INVESTOR_NAME
VC	NN	I-INVESTOR_NAME
.	.	O
Lately	RB	O
,	,	O
the	DT	O
D2C	NN	O
space	NN	O
also	RB	O
garnered	VBN	O
the	DT	O
attention	NN	O
of	IN	O
large	JJ	O
conglomerates	NNS	O
,	,	O
VCCircle	NN	O
had	VBD	O
earlier	RBR	O
reported	VBD	O
.	.	O
According	VBG	O
to	TO	O
investment	NN	O
bankers	NNS	O
and	CC	O
investors	NNS	O
,	,	O
large	JJ	O
conglomerates	NNS	O
are	VBP	O
finding	VBG	O
it	PRP	O
easier	JJR	O
to	TO	O
buy	VB	O
out	IN	O
D2C	NN	O
brands	NNS	O
amid	IN	O
a	DT	O
funding	NN	O
crunch	NN	O
for	IN	O
unprofitable	JJ	O
startups	NNS	O
.	.	O
The	DT	O
trend	NN	O
has	VBZ	O
been	VBN	O
rising	VBG	O
over	IN	O
the	DT	O
last	JJ	O
few	JJ	O
years	NNS	O
and	CC	O
will	MD	O
sharpen	VB	O
in	IN	O
2023	CD	O
,	,	O
especially	RB	O
for	IN	O
startups	NNS	O
requiring	VBG	O
capital	NN	O
to	TO	O
survive	NN	O
.	.	O
